,Season Number,Season Start,Season End,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,``,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount
0,1,20-Dec-21,04-Feb-22,1,Badlegi Business Ki Tasveer,1,BluePineFoods,Food,Frozen Momos,3,2,1,0,0,Middle,2016,Delhi,Delhi,95,8,0,0,50,5,1000,1,1,75,16,0,0,469,3,no,0,25,5.33,0,0,0,0,0,0,0,25,5.33,0,25,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,20-Dec-21,04-Feb-22,1,Badlegi Business Ki Tasveer,2,BoozScooters,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,1,1,0,0,0,Young,2017,Ahmedabad,Gujarat,4,0.4,0,0,40,15,267,1,1,40,50,0,0,80,2,no,0,20,25,0,0,0,0,0,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,20-Dec-21,04-Feb-22,1,Badlegi Business Ki Tasveer,3,HeartUpMySleeves,Beauty/Fashion,Detachable Sleeves,1,0,1,0,0,Young,2021,Delhi,Delhi,0,2,0,0,25,10,250,1,1,25,30,0,0,83,2,no,0,0,0,0,0,0,0,12.5,15,0,12.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,20-Dec-21,04-Feb-22,2,"Insaan, Ideas Aur Sapne",4,TagzFoods,Food,Healthy Potato Chips Snacks,2,2,0,0,0,Middle,2019,Bangalore,Karnataka,700,0,48,0,70,1,7000,1,1,70,2.75,0,0,2545,1,no,0,70,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,20-Dec-21,04-Feb-22,2,"Insaan, Ideas Aur Sapne",5,HeadAndHeart,Education,Brain Development Course,4,1,3,0,1,Middle,2015,Patiala,Punjab,30,0,0,0,50,5,1000,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,20-Dec-21,04-Feb-22,2,"Insaan, Ideas Aur Sapne",6,Agritourism,Agriculture,Tourism,2,1,1,0,1,Middle,2005,Baramati,Maharashtra,79,0,0,0,50,5,1000,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,20-Dec-21,04-Feb-22,3,Aam Aadmi Ke Business Ideas,7,qZenseLabs,Food,Food Freshness Detector,2,0,2,0,0,Middle,2020,"Delhi,Mohali","Delhi,Punjab",25,0,0,0,100,0.25,40000,1,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,20-Dec-21,04-Feb-22,3,Aam Aadmi Ke Business Ideas,8,Peeschute,Beauty/Fashion,Disposable Urine Bag,1,1,0,0,0,Young,2019,Jalna,Maharashtra,100,0,0,0,75,4,1875,1,1,75,6,0,0,1250,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,20-Dec-21,04-Feb-22,3,Aam Aadmi Ke Business Ideas,9,NOCD,Food,Energy Drink,2,2,0,0,0,Middle,2019,Bangalore,Karnataka,0,20,0,0,50,2,2500,1,1,20,15,30,0,133,1,no,0,0,0,0,0,0,0,0,0,0,20,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,20-Dec-21,04-Feb-22,4,Entrepreneurship Ki Wave,10,CosIQ,Beauty/Fashion,Intelligent Skincare,2,1,1,0,1,Middle,2021,Delhi,Delhi,0,4,75,0,50,7.5,667,1,1,50,25,0,0,200,2,no,0,0,0,0,0,0,0,25,12.5,0,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,20-Dec-21,04-Feb-22,4,Entrepreneurship Ki Wave,11,JhaJiAchaar,Food,Pickle,2,0,2,0,0,Old,2021,Darbhanga,Bihar,0,5,18,0,50,10,500,1,1,56.6,5.62,0,0,1007,2,no,0,0,0,0,28.3,2.81,0,0,0,0,28.3,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,20-Dec-21,04-Feb-22,4,Entrepreneurship Ki Wave,12,Bummer,Beauty/Fashion,Underwear,1,1,0,0,0,Young,2020,Ahmedabad,Gujarat,0,15,70,0,75,4,1875,1,1,75,7.5,0,0,1000,2,no,0,0,0,0,37.5,3.75,0,0,0,0,0,0,0,37.5,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0
